Name                       Version                         Revision  Tracking         Herausgeber         Hinweise
bare                       1.0                             5         latest/stable    canonical**         base
chromium                   153.0.8010.36                   3529      latest/stable    canonical**         -
code                       645f29cc                        263       latest/stable    vscode**            classic
core18                     20260901                        3084      latest/stable    canonical**         base
core20                     20260901                        2922      latest/stable    canonical**         base
core22                     20260824                        2955      latest/stable    canonical**         base
core24                     20260824                        2124      latest/stable    canonical**         base
cups                       2.4.19-2                        1238      latest/stable    openprinting**      -
curl                       8.22.0                          2421      latest/stable    aoilinux            -
firefox                    154.0-1                         8763      latest/stable/…  mozilla**           -
firmware-updater           0+git.5645b80                   226       1/stable/…       canonical**         -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198       latest/stable    canonical**         -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263       latest/stable/…  canonical**         -
gnome-46-2404              0+git.b31ceab-sdk0+git.f0723a0  164       latest/stable    canonical**         -
google-cloud-sdk           585.0.0                         722       latest/stable    google-cloud-sdk**  classic
gtk-common-themes          0.1-81-g442e511                 1535      latest/stable/…  canonical**         -
mesa-2404                  25.2.8-snap288                  1839      latest/stable    canonical**         -
ollama                     v0.34.0                         137       latest/stable    mz2                 -
pycharm-community          2026.2.2                        672       latest/stable    jetbrains**         classic
snap-store                 0+git.8334e2e4                  1390      2/stable/…       canonical**         -
snapd                      2.76.3                          27738     latest/stable    canonical**         snapd
snapd-desktop-integration  0.9                             391       latest/stable/…  canonical**         -
thunderbird                155.0.1-1                       1255      latest/stable/…  canonical**         -
