# gosec in-CI diff-gate signature baseline: pinned gosec@v2.29.0.
# One signature per line:  rule_id <TAB> repo-relative-file <TAB> normalized-code-snippet
# (line/column deliberately excluded; snippet line-number prefixes stripped).
# Regenerate after intentionally accepting a finding:  scripts/gosec-diff-gate.sh --update
G101	pkg/plaud/config.go	// bare-argv form, which leaks the secret to ps/argv. const PlaudTokenEnvVar = "M3C_PLAUD_TOKEN"
G104	cmd/m3c-tools/doctor_cmd.go	io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only diagnostic response body
G104	cmd/m3c-tools/doctor_cmd.go	io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only diagnostic response body if resp.StatusCode >= 200 && resp.StatusCode < 400 {
G104	cmd/m3c-tools/doctor_cmd.go	} else { conn.Close() //nolint:errcheck // best-effort close of a diagnostic-only TLS connection s.Checks = append(s.Checks, diag.Check{
G104	cmd/m3c-tools/doctor_cmd.go	} else { io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only diagnostic response body
G104	cmd/m3c-tools/doctor_cmd.go	} io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only diagnostic response body
G104	cmd/m3c-tools/doctor_cmd.go	} resp.Body.Close() //nolint:errcheck // best-effort close of the read-only diagnostic response body if resp.StatusCode >= 200 && resp.StatusCode < 400 {
G104	cmd/m3c-tools/main.go	// Set the token as the active API key so uploads use Bearer auth. os.Setenv("ER1_DEVICE_TOKEN", result.DeviceToken) //nolint:errcheck // in-process env propagation; auth.Save above is the checked durable write and the key is a constant }
G104	cmd/m3c-tools/main.go	case menubar.ActionStarGitHub: safeGo("StarGitHub", func() { openURL(menubar.GitHubRepoURL) }) //nolint:errcheck // fire-and-forget UI action: open the GitHub repo in a browser }
G104	cmd/m3c-tools/main.go	dir := filepath.Join(home, ".m3c-tools") os.MkdirAll(dir, 0700) //nolint:errcheck // best-effort dir create; a real failure surfaces when the DB at this path is opened return filepath.Join(dir, "tracking.db")
G104	cmd/m3c-tools/main.go	if _, err := rand.Read(nonce); err != nil { ln.Close() //nolint:errcheck // best-effort close of the just-opened listener on this error path return nil, "", nil, nil, fmt.Errorf("generate callback nonce: %w", err)
G104	cmd/m3c-tools/main.go	if dt, err := auth.Load(auth.DeviceID(), strings.SplitN(cfg.ContextID, "___", 2)[0]); err == nil && dt != nil && !dt.IsExpired() { os.Setenv("ER1_DEVICE_TOKEN", dt.Token) //nolint:errcheck // in-process env propagation; the durable device-token store is the source of truth and the key is a constant os.Setenv("ER1_CONTEXT_ID", dt.ContextID) //nolint:errcheck // in-process env propagation; the durable device-token store is the source of truth and the key is a constant
G104	cmd/m3c-tools/main.go	if filesDB != nil { filesDB.Close() //nolint:errcheck // best-effort close of the read-only tracking DB before syncing }
G104	cmd/m3c-tools/main.go	if filesDB != nil { filesDB.Close() //nolint:errcheck // best-effort close of the read-only tracking DB on cleanup }
G104	cmd/m3c-tools/main.go	if logDir := filepath.Dir(cfg.LogPath); logDir != "" && logDir != "." { os.MkdirAll(logDir, 0700) //nolint:errcheck // best-effort dir create; a real failure surfaces when the log file below is opened }
G104	cmd/m3c-tools/main.go	if ttStore != nil { ttStore.Close() //nolint:errcheck // best-effort close of the time-tracking store on shutdown }
G104	cmd/m3c-tools/main.go	migratePlaudDevLedger(db) db.Close() //nolint:errcheck // best-effort close after a one-time idempotent ledger migration }
G104	cmd/m3c-tools/main.go	n, _ := io.Copy(io.Discard, f) f.Close() //nolint:errcheck // best-effort close of a read-only file opened only to warm the OS cache
G104	cmd/m3c-tools/main.go	os.Setenv("ER1_DEVICE_TOKEN", dt.Token) //nolint:errcheck // in-process env propagation; the durable device-token store is the source of truth and the key is a constant os.Setenv("ER1_CONTEXT_ID", dt.ContextID) //nolint:errcheck // in-process env propagation; the durable device-token store is the source of truth and the key is a constant log.Printf("[auth] device token loaded for user=%s", truncateForLog(dt.UserID, 20))
G104	cmd/m3c-tools/main.go	} else { os.Setenv("ER1_DEVICE_TOKEN", result.DeviceToken) //nolint:errcheck // in-process env propagation; auth.Save above is the checked durable write and the key is a constant fmt.Printf("Device token saved for user=%s device=%s\\n", truncateForLog(result.UserID, 20), auth.DeviceID())
G104	cmd/m3c-tools/main.go	} json.Unmarshal(body, &listResp) //nolint:errcheck // debug endpoint explorer; an empty list on parse failure is acceptable here fmt.Printf("Total recordings in list: %d\\n", len(listResp.DataFileList))
G104	cmd/m3c-tools/main.go	} os.Setenv("ER1_CONTEXT_ID", ctxID) //nolint:errcheck // in-process env propagation; savePersistedER1Session above is the checked durable write and the key is a constant
G104	cmd/skillctl/gossip_revokes.go	if !ok { be.Close() //nolint:errcheck // best-effort close of a read-only artifact backend on this branch rep.Status = "no signed event log"
G104	cmd/skillctl/gossip_revokes.go	page, err := gl.Events(ctx, artifact.ListFilter{}, artifact.Page{}) be.Close() //nolint:errcheck // best-effort close of a read-only artifact backend after reading events if err != nil {
G104	cmd/skillctl/scanner_cmds.go	io.Copy(io.Discard, resp.Body) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only response body if resp.StatusCode >= 200 && resp.StatusCode < 300 {
G104	cmd/skillctl/scanner_cmds.go	var answer string fmt.Scanln(&answer) //nolint:errcheck // an empty answer on read failure (e.g. EOF) is treated as "no", the safe default if answer == "y" || answer == "Y" || answer == "yes" {
G104	cmd/skillctl/scanner_cmds.go	} io.Copy(io.Discard, resp.Body) //nolint:errcheck // draining the response body for connection reuse; the data is discarded resp.Body.Close() //nolint:errcheck // best-effort close of the read-only response body
G104	cmd/skillctl/scanner_cmds.go	} rows.Close() //nolint:errcheck // best-effort close of already-iterated read-only rows
G104	pkg/config/editor.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(v) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/config/editor.go	w.Header().Set("Content-Type", "application/json") w.Write([]byte(`{"status":"ok","service":"m3c-settings-editor"}`)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/config/editor.go	w.Header().Set("Content-Type", "text/html; charset=utf-8") w.Write(s.injectToken(editorHTML)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/config/editor.go	w.WriteHeader(code) json.NewEncoder(w).Encode(map[string]string{"error": msg}) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/config/editor.go	} cmd.Start() //nolint:errcheck // fire-and-forget UI action: open the settings editor in a browser }
G104	pkg/config/healthcheck.go	defer resp.Body.Close() io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded
G104	pkg/config/profile.go	if _, err := f.WriteString(name + "\\n"); err != nil { f.Close() //nolint:errcheck // best-effort close on error path; the write error is already returned below return fmt.Errorf("write active-profile: %w", err)
G104	pkg/config/profile.go	if err := f.Sync(); err != nil { f.Close() //nolint:errcheck // best-effort close on error path; the sync error is already returned below return fmt.Errorf("sync active-profile: %w", err)
G104	pkg/er1/config.go	defer resp.Body.Close() io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded
G104	pkg/er1/config.go	if os.Getenv(k) == "" { os.Setenv(k, v) //nolint:errcheck // best-effort .env->process env; a malformed key is simply skipped, same as an absent line }
G104	pkg/er1/device.go	defer resp.Body.Close() io.Copy(io.Discard, io.LimitReader(resp.Body, 1<<20)) //nolint:errcheck // draining the response body for connection reuse; the data is discarded
G104	pkg/menubar/app.go	Clicked: func() { CopyToClipboard("Transcript for " + entry.VideoID) //nolint:errcheck // best-effort UI clipboard write a.fireAction(ActionCopyTranscript, entry.VideoID)
G104	pkg/menubar/app.go	Clicked: func() { exec.Command("open", a.Config.LogPath).Run() //nolint:errcheck // fire-and-forget UI action: open the log file in the default app a.fireAction(ActionOpenLog, a.Config.LogPath)
G104	pkg/menubar/app.go	if result.Button == 1 { // Trash CopyToClipboard("") //nolint:errcheck // best-effort UI clipboard clear a.notify("Cleared", "Clipboard cleared")
G104	pkg/plaud/auth.go	if err := cmd.Start(); err != nil { os.RemoveAll(debugDir) //nolint:errcheck // best-effort cleanup of the temp Chrome profile dir on this error path return nil, fmt.Errorf("failed to launch Chrome: %w", err)
G104	pkg/plaud/auth.go	if err == nil { resp.Body.Close() //nolint:errcheck // best-effort close of a read-only CDP readiness-probe response cdpReady = true
G104	pkg/plaud/auth.go	if err == nil { resp.Body.Close() //nolint:errcheck // best-effort close of a read-only CDP readiness-probe response return true
G104	pkg/plaud/auth.go	} os.RemoveAll(debugDir) //nolint:errcheck // best-effort cleanup of the temp Chrome profile dir }
G104	pkg/plaud/login.go	body, _ := io.ReadAll(io.LimitReader(resp.Body, 1<<20)) resp.Body.Close() //nolint:errcheck // best-effort close of the read-only response body already read above
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(filtered) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(g) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(map[string]interface{}{ //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) "status": "rebuilt", "node_count": len(graph.Nodes), "edge_count": len(graph.Edges), }) }
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "application/json") json.NewEncoder(w).Encode(matches) //nolint:errcheck // best-effort JSON write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "application/json") w.Write([]byte(`{"status":"ok","service":"skillctl-browse"}`)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/browse/server.go	w.Header().Set("Content-Type", "text/html; charset=utf-8") w.Write(injectToken(uiHTML, s.token)) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
G104	pkg/skillctl/browse/server.go	} cmd.Start() //nolint:errcheck // fire-and-forget UI action: open the browse UI in a browser }
G104	pkg/skillctl/browse/store.go	if err := s.migrate(); err != nil { db.Close() //nolint:errcheck // best-effort close of the just-opened DB on this error path return nil, fmt.Errorf("migrate: %w", err)
G104	pkg/skillctl/menubar/skillbar.go	buf.WriteString("</body></html>") w.Write(buf.Bytes()) //nolint:errcheck // best-effort write to an HTTP response (client may have disconnected) }
